amount,amount_balls,amount_name,amount_type,away_team_id,batting_first_team_id,bpo,floodlit,floodlit_name,ground_id,ground_latitude,ground_longitude,ground_name,home_team_id,rain_rule,rain_rule_name,team1_abbreviation,team1_id,team1_class_id,team1_object_id,team2_abbreviation,team2_id,team2_class_id,team2_object_id,tiebreaker_name,tiebreaker_type,tiebreaker_team_id,toss_winner_team_id,winner_team_id,ground_object_id,period,balls_faced,batted,batting_position,dismissal,dismissal_card,ducks,fielder_keeper,fielder_sub,fifty_plus,fours,hundreds,innings,innings_number,minutes,notouts,outs,retired_description,runs,sixes,strike_rate,style_type,description,short_description,date_of_birth,position
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,11,1,6,1,c,0,1,0,0,1,0,1,2,19,0,1,0,25,3,227.27,bowling,Legbreak,Lb,11-10-2001,TBT
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,11,1,6,1,c,0,1,0,0,1,0,1,2,19,0,1,0,25,3,227.27,batting,Right-hand bat,Rhb,11-10-2001,TBT
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Legbreak,Lb,09-04-1993,AR
4,0,runs,2,4342,4342,0,3,night match,713,18.939007,72.82579,"Wankhede Stadium, Mumbai",4345,0,,RR,4345,6,335977,PBKS,4342,6,335973,,0,0,4345,4342,58324,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,09-04-1993,AR
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,5,1,3,1,c,0,1,0,0,0,0,1,2,10,0,1,0,5,0,100,bowling,Right-arm medium,Rm,03-02-1991,TBT
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,5,1,3,1,c,0,1,0,0,0,0,1,2,10,0,1,0,5,0,100,batting,Right-hand bat,Rhb,03-02-1991,TBT
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,7,1,4,1,c,0,0,0,0,1,0,1,2,12,0,1,0,7,0,100,bowling,Right-arm medium,Rm,09-10-1986,MBT
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,7,1,4,1,c,0,0,0,0,1,0,1,2,12,0,1,0,7,0,100,batting,Left-hand bat,Lhb,09-10-1986,MBT
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,9,1,5,1,c,0,0,0,0,1,0,1,2,15,0,1,0,9,0,100,bowling,Slow left-arm orthodox,Sla,3/24/1987,AR
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,9,1,5,1,c,0,0,0,0,1,0,1,2,15,0,1,0,9,0,100,batting,Left-hand bat,Lhb,3/24/1987,AR
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,11,1,6,12,not out,0,0,0,0,0,0,1,2,30,1,0,0,8,0,72.72,bowling,Right-arm offbreak,Ob,06-01-1985,WBT
10,0,runs,2,4346,4346,0,3,night match,291,13.062788,80.279449,"MA Chidambaram Stadium, Chepauk, Chennai",4341,0,,KKR,4341,6,335971,MI,4346,6,335978,,0,0,4341,4346,58008,2,11,1,6,12,not out,0,0,0,0,0,0,1,2,30,1,0,0,8,0,72.72,batting,Right-hand bat,Rhb,06-01-1985,WBT
